candidate	count	files
方法	715	25
代码	626	24
一个	531	24
可以	379	24
如果	349	23
注释	337	9
设计	303	24
使用	301	23
可能	289	22
例如	248	22
需要	222	23
实现	221	23
系统	220	24
复杂性	218	23
接口	215	18
这些	204	25
模块	195	18
信息	185	17
它们	178	21
但是	168	21
提供	168	20
问题	167	25
必须	165	22
变量	165	16
重要	164	24
开发人员	161	20
每个	160	21
情况	151	22
功能	149	19
进行	145	22
文本	145	10
所有	143	23
名称	143	14
没有	138	23
因此	137	21
简单	136	22
调用	133	17
编写	125	21
通过	124	20
文档	122	16
错误	120	17
应该	120	21
文件	119	14
任何	118	20
抽象	117	17
并且	114	23
这种	114	20
不同	110	24
方式	109	21
其他	108	21
操作	108	14
时间	107	19
异常	107	8
一些	102	25
描述	102	20
一种	101	23
如何	99	22
他们	99	18
导致	99	21
对象	98	11
通用	95	16
处理	93	16
不是	91	23
那么	86	23
选择	86	18
修改	85	19
包含	84	15
考虑	84	20
通常	84	19
示例	83	17
工作	81	20
我们	81	16
具有	81	19
对于	81	18
这个	80	21
用于	80	20
请求	79	9
许多	78	20
更改	78	14
两个	78	18
什么	77	17
是否	76	22
特定	75	18
创建	75	18
位置	74	14
应用程序	74	11
参数	73	13
讨论	71	23
了解	69	20
知道	69	19
容易	69	22
因为	68	19
用户	68	13
删除	67	10
这样	63	19
执行	63	15
复杂	62	17
理解	62	14
事情	62	17
服务器	62	5
之间	61	17
多个	61	15
机制	61	9
发生	60	16
软件设计	59	17
以及	59	19
添加	59	15
存在	58	17
阅读	58	15
读者	58	9
层级	57	16
增加	57	17
性能	57	10
专用	56	6
最好	55	17
更好	55	19
已经	54	19
不会	54	18
产生	54	20
测试	53	10
减少	52	17
存储	52	11
无法	51	20
相关	51	15
行为	51	17
额外	51	18
之一	50	18
现有	50	14
或者	50	15
影响	50	16
软件	49	18
然后	48	19
过程	48	16
定义	48	17
项目	47	18
高层	47	13
地方	47	15
内部	47	11
就是	46	18
完成	46	14
找到	46	20
之前	46	16
调用者	46	13
本书	45	9
看到	45	16
危险信号	44	16
变得	44	18
用户界面	44	7
几乎	43	19
大多数	43	16
开发	43	12
插入	43	7
重复	43	13
尝试	41	17
细节	41	10
数据	41	9
类型	41	12
隐藏	41	8
出现	40	14
自己	40	19
