candidate	count	files	forms	first_source
design	185	21	"{""design"": 160, ""designs"": 20, ""Design"": 5}"	docs/en/README.md:9
code	167	15	"{""code"": 161, ""Code"": 6}"	docs/en/preface.md:9
class	124	13	"{""classes"": 24, ""class"": 100}"	docs/en/README.md:9
software	106	20	"{""software"": 102, ""Software"": 4}"	docs/en/README.md:9
system	106	23	"{""systems"": 34, ""Systems"": 3, ""system"": 67, ""System"": 2}"	docs/en/README.md:9
interface	86	11	"{""interfaces"": 7, ""interface"": 77, ""Interfaces"": 1, ""Interface"": 1}"	docs/en/preface.md:29
complexity	84	20	"{""complexity"": 79, ""Complexity"": 5}"	docs/en/README.md:9
method	78	12	"{""methods"": 39, ""method"": 36, ""Methods"": 2, ""Method"": 1}"	docs/en/README.md:9
text	69	4	"{""text"": 69}"	docs/en/preface.md:13
comment	66	6	"{""comments"": 49, ""Comments"": 8, ""comment"": 8, ""Comment"": 1}"	docs/en/preface.md:29
module	63	14	"{""modules"": 24, ""Modules"": 3, ""module"": 35, ""Module"": 1}"	docs/en/README.md:9
approach	57	11	"{""approaches"": 9, ""approach"": 47, ""Approaches"": 1}"	docs/en/preface.md:13
problem	54	13	"{""problem"": 20, ""problems"": 32, ""Problem"": 1, ""Problems"": 1}"	docs/en/README.md:9
information	52	10	"{""information"": 49, ""Information"": 3}"	docs/en/ch02.md:19
example	51	13	"{""example"": 45, ""examples"": 6}"	docs/en/preface.md:7
text class	50	3	"{""text class"": 49, ""text classes"": 1}"	docs/en/ch06.md:23
developer	46	14	"{""developers"": 31, ""developer"": 13, ""Developers"": 2}"	docs/en/ch01.md:16
thing	45	11	"{""things"": 37, ""thing"": 7, ""Things"": 1}"	docs/en/preface.md:17
way	44	15	"{""way"": 33, ""ways"": 11}"	docs/en/preface.md:9
software design	42	12	"{""software design"": 41, ""software designs"": 1}"	docs/en/README.md:9
time	42	16	"{""times"": 3, ""time"": 39}"	docs/en/preface.md:11
book	40	9	"{""book"": 40}"	docs/en/README.md:9
chapter	39	18	"{""chapters"": 8, ""chapter"": 24, ""Chapter"": 7}"	docs/en/ch01.md:36
user	33	7	"{""Users"": 1, ""users"": 13, ""user"": 19}"	docs/en/ch04.md:21
idea	30	10	"{""ideas"": 16, ""idea"": 14}"	docs/en/README.md:9
feature	30	7	"{""features"": 27, ""feature"": 3}"	docs/en/ch01.md:6
implementation	30	11	"{""implementation"": 26, ""implementations"": 2, ""Implementation"": 2}"	docs/en/ch01.md:16
selection	30	2	"{""selection"": 29, ""Selection"": 1}"	docs/en/ch06.md:35
user interface	29	2	"{""user interface"": 29}"	docs/en/ch06.md:41
name	27	6	"{""names"": 14, ""name"": 10, ""Name"": 3}"	docs/en/ch12.md:7
case	26	9	"{""cases"": 16, ""case"": 10}"	docs/en/ch01.md:10
matter	26	5	"{""matter"": 17, ""matters"": 9}"	docs/en/ch11.md:7
function	25	5	"{""functions"": 17, ""function"": 8}"	docs/en/ch01.md:38
principle	23	11	"{""principles"": 14, ""principle"": 9}"	docs/en/README.md:9
history	23	2	"{""history"": 6, ""History"": 17}"	docs/en/ch01.md:4
operation	23	6	"{""operations"": 16, ""operation"": 7}"	docs/en/ch05.md:27
documentation	22	7	"{""documentation"": 20, ""Documentation"": 2}"	docs/en/ch06.md:73
development	21	9	"{""development"": 21}"	docs/en/preface.md:3
piece	21	8	"{""pieces"": 12, ""piece"": 9}"	docs/en/preface.md:5
action	21	1	"{""actions"": 12, ""Action"": 3, ""Actions"": 2, ""action"": 4}"	docs/en/ch06.md:113
abstraction	20	8	"{""abstraction"": 12, ""Abstractions"": 1, ""abstractions"": 7}"	docs/en/ch04.md:21
software system	19	13	"{""software systems"": 11, ""software system"": 5, ""Software systems"": 2, ""Software System"": 1}"	docs/en/README.md:9
student	19	2	"{""Students"": 2, ""students"": 11, ""student"": 6}"	docs/en/preface.md:9
file	19	5	"{""file"": 18, ""files"": 1}"	docs/en/preface.md:13
work	18	9	"{""work"": 18}"	docs/en/preface.md:5
level	18	9	"{""level"": 14, ""levels"": 4}"	docs/en/preface.md:11
line	18	5	"{""lines"": 7, ""line"": 11}"	docs/en/preface.md:13
editor	18	3	"{""editors"": 1, ""editor"": 17}"	docs/en/preface.md:13
number	18	6	"{""number"": 18}"	docs/en/ch01.md:20
component	17	2	"{""components"": 13, ""component"": 4}"	docs/en/ch01.md:6
character	17	3	"{""character"": 7, ""characters"": 10}"	docs/en/ch06.md:25
device	17	3	"{""device"": 13, ""devices"": 4}"	docs/en/ch06.md:105
API	16	3	"{""API"": 16}"	docs/en/ch06.md:5
backspace	16	2	"{""backspace"": 16}"	docs/en/ch06.md:25
position	16	3	"{""position"": 11, ""positions"": 4, ""Position"": 1}"	docs/en/ch06.md:35
process	15	9	"{""process"": 14, ""Process"": 1}"	docs/en/README.md:9
people	15	4	"{""People"": 1, ""people"": 14}"	docs/en/preface.md:3
technique	15	8	"{""techniques"": 14, ""technique"": 1}"	docs/en/preface.md:3
result	15	9	"{""result"": 9, ""results"": 6}"	docs/en/preface.md:9
experience	15	7	"{""experience"": 12, ""experiences"": 3}"	docs/en/preface.md:13
behavior	15	11	"{""behaviors"": 1, ""behavior"": 14}"	docs/en/ch01.md:4
alternative	15	4	"{""alternatives"": 13, ""alternative"": 2}"	docs/en/ch01.md:26
layer	15	2	"{""layers"": 9, ""layer"": 6}"	docs/en/ch07.md:3
red flag	14	7	"{""red flags"": 8, ""red flag"": 6}"	docs/en/README.md:9
flag	14	7	"{""flags"": 8, ""flag"": 6}"	docs/en/README.md:9
reader	14	3	"{""readers"": 6, ""reader"": 8}"	docs/en/preface.md:17
