file	section	en_blocks	zh_blocks	status	en_locations	zh_locations
README.md	intro	0	1	no_english		docs/README.md:5
preface.md	intro	13	13	same_count_not_yet_verified	epub/preface.md:4; epub/preface.md:7; epub/preface.md:10; epub/preface.md:13; epub/preface.md:16; epub/preface.md:19; epub/preface.md:22; epub/preface.md:25; epub/preface.md:28; epub/preface.md:34; epub/preface.md:37; epub/preface.md:40; epub/preface.md:43	docs/preface.md:3; docs/preface.md:5; docs/preface.md:7; docs/preface.md:9; docs/preface.md:11; docs/preface.md:13; docs/preface.md:15; docs/preface.md:17; docs/preface.md:19; docs/preface.md:23; docs/preface.md:25; docs/preface.md:27; docs/preface.md:29
ch01.md	intro	13	12	alignment_required	epub/ch01.md:7; epub/ch01.md:10; epub/ch01.md:13; epub/ch01.md:16; epub/ch01.md:19; epub/ch01.md:22; epub/ch01.md:25; epub/ch01.md:28; epub/ch01.md:31; epub/ch01.md:34; epub/ch01.md:37; epub/ch01.md:40; epub/ch01.md:43	docs/ch01.md:3; docs/ch01.md:5; docs/ch01.md:7; docs/ch01.md:9; docs/ch01.md:11; docs/ch01.md:13; docs/ch01.md:15; docs/ch01.md:17; docs/ch01.md:19; docs/ch01.md:21; docs/ch01.md:23; docs/ch01.md:25
ch01.md	1.1	6	6	same_count_not_yet_verified	epub/ch01.md:49; epub/ch01.md:52; epub/ch01.md:55; epub/ch01.md:58; epub/ch01.md:61; epub/ch01.md:64	docs/ch01.md:29; docs/ch01.md:31; docs/ch01.md:33; docs/ch01.md:35; docs/ch01.md:37; docs/ch01.md:39
ch02.md	intro	3	3	same_count_not_yet_verified	epub/ch02.md:7; epub/ch02.md:10; epub/ch02.md:13	docs/ch02.md:3; docs/ch02.md:5; docs/ch02.md:7
ch02.md	2.1	6	6	same_count_not_yet_verified	epub/ch02.md:19; epub/ch02.md:22; epub/ch02.md:25; epub/ch02.md:28; epub/ch02.md:31; epub/ch02.md:34	docs/ch02.md:11; docs/ch02.md:13; docs/ch02.md:15; docs/ch02.md:17; docs/ch02.md:21; docs/ch02.md:23
ch02.md	2.2	8	8	same_count_not_yet_verified	epub/ch02.md:40; epub/ch02.md:43; epub/ch02.md:46; epub/ch02.md:49; epub/ch02.md:52; epub/ch02.md:55; epub/ch02.md:58; epub/ch02.md:61	docs/ch02.md:27; docs/ch02.md:29; docs/ch02.md:31; docs/ch02.md:33; docs/ch02.md:37; docs/ch02.md:39; docs/ch02.md:41; docs/ch02.md:43
ch02.md	2.3	7	7	same_count_not_yet_verified	epub/ch02.md:67; epub/ch02.md:70; epub/ch02.md:73; epub/ch02.md:76; epub/ch02.md:79; epub/ch02.md:82; epub/ch02.md:85	docs/ch02.md:47; docs/ch02.md:49; docs/ch02.md:51; docs/ch02.md:53; docs/ch02.md:55; docs/ch02.md:57; docs/ch02.md:59
ch02.md	2.4	2	2	same_count_not_yet_verified	epub/ch02.md:91; epub/ch02.md:94	docs/ch02.md:63; docs/ch02.md:65
ch02.md	2.5	1	1	same_count_not_yet_verified	epub/ch02.md:100	docs/ch02.md:69
ch03.md	intro	2	2	same_count_not_yet_verified	epub/ch03.md:7; epub/ch03.md:10	docs/ch03.md:2; docs/ch03.md:4
