candidate	count	files	forms	first_source
code	592	22	"{""code"": 581, ""Code"": 11}"	epub/preface.md:13
method	460	22	"{""methods"": 177, ""method"": 276, ""Methods"": 6, ""Method"": 1}"	epub/ch01.md:61
class	397	23	"{""class"": 285, ""classes"": 110, ""Class"": 2}"	epub/preface.md:7
comment	361	10	"{""comments"": 208, ""Comments"": 21, ""comment"": 131, ""Comment"": 1}"	epub/preface.md:43
design	327	23	"{""design"": 292, ""designs"": 25, ""Design"": 10}"	epub/preface.md:4
system	296	24	"{""systems"": 52, ""Systems"": 3, ""system"": 237, ""System"": 4}"	epub/preface.md:4
interface	278	20	"{""interfaces"": 32, ""interface"": 239, ""Interfaces"": 3, ""Interface"": 4}"	epub/preface.md:43
example	232	21	"{""example"": 209, ""examples"": 23}"	epub/preface.md:10
information	230	20	"{""information"": 221, ""Information"": 9}"	epub/ch02.md:46
complexity	214	22	"{""complexity"": 196, ""Complexity"": 14, ""complexities"": 4}"	epub/preface.md:25
module	177	17	"{""Modules"": 5, ""modules"": 57, ""module"": 113, ""Module"": 2}"	epub/preface.md:4
name	161	14	"{""name"": 95, ""names"": 61, ""Name"": 3, ""Names"": 2}"	epub/ch02.md:76
developer	160	20	"{""developers"": 99, ""developer"": 58, ""Developers"": 3}"	epub/ch01.md:28
approach	158	21	"{""approaches"": 10, ""approach"": 147, ""Approaches"": 1}"	epub/preface.md:19
software	155	23	"{""software"": 150, ""Software"": 5}"	epub/preface.md:4
exception	143	10	"{""exceptions"": 63, ""exception"": 71, ""Exception"": 7, ""Exceptions"": 2}"	epub/ch01.md:58
file	142	14	"{""file"": 121, ""files"": 20, ""File"": 1}"	epub/preface.md:19
problem	124	24	"{""problem"": 60, ""Problem"": 1, ""problems"": 62, ""Problems"": 1}"	epub/preface.md:4
time	123	22	"{""times"": 12, ""time"": 111}"	epub/preface.md:16
implementation	122	20	"{""implementation"": 101, ""implementations"": 14, ""Implementations"": 1, ""Implementation"": 6}"	epub/ch01.md:28
way	120	23	"{""way"": 90, ""ways"": 30}"	epub/preface.md:13
text	113	10	"{""text"": 113}"	epub/preface.md:19
documentation	111	15	"{""documentation"": 107, ""Documentation"": 4}"	epub/ch02.md:79
variable	110	16	"{""variables"": 55, ""variable"": 55}"	epub/ch02.md:46
thing	109	23	"{""things"": 73, ""thing"": 34, ""Things"": 2}"	epub/preface.md:25
abstraction	103	14	"{""abstraction"": 59, ""Abstractions"": 2, ""abstractions"": 42}"	epub/ch04.md:46
case	98	17	"{""cases"": 43, ""case"": 55}"	epub/ch01.md:19
change	95	14	"{""changes"": 56, ""Change"": 3, ""change"": 36}"	epub/ch01.md:28
user	92	13	"{""users"": 51, ""Users"": 4, ""user"": 37}"	epub/ch04.md:22
line	90	18	"{""lines"": 46, ""line"": 44}"	epub/preface.md:19
object	86	11	"{""objects"": 31, ""object"": 55}"	epub/ch04.md:121
chapter	85	20	"{""chapters"": 14, ""chapter"": 31, ""Chapter"": 39, ""Chapters"": 1}"	epub/ch01.md:58
error	84	9	"{""errors"": 40, ""error"": 43, ""Errors"": 1}"	epub/ch01.md:43
value	80	16	"{""value"": 56, ""values"": 24}"	epub/ch02.md:43
application	72	11	"{""applications"": 19, ""application"": 52, ""Applications"": 1}"	epub/ch02.md:49
place	69	14	"{""place"": 40, ""places"": 29}"	epub/ch01.md:58
development	68	13	"{""development"": 68}"	epub/preface.md:4
order	65	18	"{""order"": 65}"	epub/ch02.md:43
request	65	9	"{""requests"": 13, ""request"": 52}"	epub/ch04.md:25
feature	64	15	"{""features"": 47, ""feature"": 17}"	epub/ch01.md:13
functionality	64	11	"{""functionality"": 64}"	epub/ch01.md:31
operation	64	11	"{""operations"": 36, ""operation"": 28}"	epub/ch04.md:22
detail	63	15	"{""details"": 48, ""detail"": 15}"	epub/ch01.md:22
parameter	63	8	"{""parameter"": 23, ""parameters"": 39, ""Parameters"": 1}"	epub/ch02.md:70
text class	63	6	"{""text class"": 61, ""text classes"": 2}"	epub/ch06.md:37
result	60	19	"{""result"": 31, ""results"": 29}"	epub/preface.md:13
structure	60	17	"{""structure"": 48, ""structures"": 11, ""Structure"": 1}"	epub/ch02.md:19
figure	60	9	"{""Figure"": 57, ""figure"": 3}"	epub/ch02.md:43
idea	59	19	"{""ideas"": 23, ""idea"": 36}"	epub/preface.md:16
bug	59	15	"{""bugs"": 31, ""bug"": 27, ""Bugs"": 1}"	epub/preface.md:34
piece	58	18	"{""pieces"": 27, ""piece"": 31}"	epub/preface.md:7
server	58	5	"{""servers"": 21, ""server"": 37}"	epub/ch05.md:79
mechanism	57	9	"{""mechanisms"": 12, ""mechanism"": 45}"	epub/ch04.md:22
reader	56	9	"{""readers"": 36, ""reader"": 20}"	epub/preface.md:25
number	53	17	"{""number"": 48, ""numbers"": 5}"	epub/ch01.md:34
caller	53	13	"{""caller"": 28, ""callers"": 25}"	epub/ch02.md:46
software design	52	16	"{""software design"": 50, ""software designs"": 2}"	epub/preface.md:4
