english	preferred_zh	en_count	en_files	en_forms	zh_count	zh_files	zh_variants
complexity	复杂性	214	22	"{""complexity"": 196, ""Complexity"": 14, ""complexities"": 4}"	218	23	"{""复杂性"": 218}"
dependency	依赖性／依赖关系	52	12	"{""dependencies"": 38, ""dependency"": 11, ""Dependencies"": 3}"	47	11	"{""依赖性"": 16, ""依赖关系"": 25, ""依赖项"": 6}"
obscurity	模糊性	24	6	"{""obscurity"": 17, ""Obscurity"": 5, ""obscurities"": 2}"	21	6	"{""模糊性"": 21}"
change amplification	变更放大	6	3	"{""Change amplification"": 3, ""change amplification"": 3}"	6	3	"{""变更放大"": 6}"
cognitive load	认知负荷	24	8	"{""Cognitive load"": 3, ""cognitive load"": 21}"	24	8	"{""认知负荷"": 24}"
unknown unknowns	未知的未知	10	4	"{""Unknown unknowns"": 2, ""unknown unknowns"": 8}"	11	4	"{""未知的未知"": 11}"
modular design	模块化设计	8	2	"{""modular design"": 8}"	8	2	"{""模块化设计"": 8}"
abstraction	抽象	103	14	"{""abstraction"": 59, ""Abstractions"": 2, ""abstractions"": 42}"	117	17	"{""抽象"": 117}"
deep module/class	深模块／深类	13	7	"{""deep module"": 2, ""Deep modules"": 1, ""deep classes"": 2, ""deep modules"": 4, ""deeper classes"": 3, ""Deep classes"": 1}"	12	6	"{""深模块"": 7, ""深类"": 3, ""更深的类"": 2}"
shallow module/class	浅模块／浅类	13	6	"{""shallow modules"": 2, ""shallow module"": 3, ""Shallow classes"": 3, ""Shallow modules"": 1, ""shallow classes"": 3, ""Shallow Module"": 1}"	15	6	"{""浅模块"": 7, ""浅层模块"": 1, ""浅类"": 6, ""浅的类"": 1}"
information hiding	信息隐藏	29	6	"{""information hiding"": 26, ""Information hiding"": 3}"	25	6	"{""信息隐藏"": 25}"
information leakage	信息泄露	22	7	"{""information leakage"": 17, ""Information leakage"": 4, ""Information Leakage"": 1}"	23	7	"{""信息泄露"": 23}"
general-purpose	通用	70	10	"{""general-purpose"": 69, ""General-purpose"": 1}"	106	16	"{""通用"": 105, ""通用用途"": 1}"
special-purpose	专用	31	6	"{""special-purpose"": 30, ""Special-purpose"": 1}"	75	8	"{""专用"": 65, ""专门"": 9, ""特殊用途"": 1}"
specialization	专用化	15	1	"{""specialization"": 12, ""over-specialization"": 1, ""Specialization"": 2}"	10	1	"{""专用化"": 9, ""专业化"": 1}"
generality	通用性	2	1	"{""generality"": 2}"	5	3	"{""通用化"": 3, ""通用性"": 2}"
special case	特殊情况	35	9	"{""special cases"": 23, ""Special cases"": 2, ""special case"": 5, ""special-case"": 5}"	39	10	"{""特殊情况"": 39}"
edge case/condition	边界情况	2	1	"{""edge cases"": 1, ""edge conditions"": 1}"	3	2	"{""边界情况"": 2, ""边界条件"": 1}"
interface	接口	297	21	"{""interfaces"": 32, ""interface"": 258, ""Interfaces"": 3, ""Interface"": 4}"	264	20	"{""接口"": 264}"
implementation	实现	123	20	"{""implementation"": 102, ""implementations"": 14, ""Implementations"": 1, ""Implementation"": 6}"	245	23	"{""实现"": 245}"
method	方法	484	22	"{""methods"": 177, ""method"": 300, ""Methods"": 6, ""Method"": 1}"	732	25	"{""方法"": 732}"
function	函数	49	12	"{""functions"": 26, ""function"": 23}"	197	21	"{""函数"": 44, ""功能"": 153}"
bug	缺陷／代码缺陷	60	16	"{""bugs"": 31, ""bug"": 28, ""Bugs"": 1}"	56	15	"{""缺陷"": 30, ""代码缺陷"": 26}"
error	错误	95	12	"{""errors"": 42, ""error"": 52, ""Errors"": 1}"	130	19	"{""错误"": 130}"
exception	异常	146	10	"{""exceptions"": 63, ""exception"": 74, ""Exception"": 7, ""Exceptions"": 2}"	158	8	"{""异常"": 158}"
exception handling	异常处理	20	1	"{""Exception handling"": 3, ""exception handling"": 17}"	30	1	"{""异常处理"": 30}"
mask exceptions	屏蔽异常	1	1	"{""mask them"": 1}"	10	1	"{""异常屏蔽"": 8, ""屏蔽异常"": 2}"
exception aggregation	异常聚合	6	1	"{""exception aggregation"": 4, ""Exception aggregation"": 1, ""aggregate several special-case handlers"": 1}"	9	1	"{""异常聚合"": 7, ""聚合异常"": 2}"
handler	处理程序／处理函数	23	4	"{""handlers"": 9, ""handler"": 14}"	24	4	"{""处理程序"": 12, ""异常处理程序"": 10, ""处理函数"": 2}"
pass-through	透传	28	2	"{""pass-through"": 21, ""Pass-through"": 6, ""Pass-Through"": 1}"	29	3	"{""透传"": 28, ""传递变量"": 1}"
temporal decomposition	时间顺序分解（简称时间分解）	9	2	"{""temporal decomposition"": 8, ""Temporal Decomposition"": 1}"	10	2	"{""时间顺序分解"": 8, ""时间分解"": 2}"
conjoined methods/functions	连体方法／连体函数	3	2	"{""Conjoined Methods"": 2, ""conjoined functions"": 1}"	4	2	"{""连体方法"": 3, ""连体函数"": 1}"
red flag	危险信号	27	14	"{""red flags"": 8, ""red flag"": 19}"	44	16	"{""危险信号"": 44}"
obvious	易理解／显而易见	85	18	"{""obvious"": 81, ""Obvious"": 2, ""obviousness"": 2}"	82	19	"{""易理解"": 35, ""明显"": 38, ""显而易见"": 5, ""易于理解"": 4}"
comments not obvious from code	注释应描述从代码中看不出的信息	5	2	"{""things that aren’t obvious from the code"": 4, ""things that are not obvious from the code"": 1}"	4	2	"{""代码中难以理解的内容"": 4}"
interface documentation	接口文档	44	8	"{""interface comment"": 24, ""interface comments"": 13, ""Interface comments"": 1, ""interface documentation"": 6}"	44	8	"{""接口注释"": 38, ""接口文档"": 6}"
implementation documentation	实现文档	14	5	"{""Implementation comment"": 1, ""Implementation comments"": 3, ""implementation comments"": 7, ""implementation documentation"": 2, ""Implementation Documentation"": 1}"	14	5	"{""实现注释"": 10, ""实现文档"": 4}"
self-documenting	自解释的	1	1	"{""self-documenting"": 1}"	1	1	"{""自解释"": 1}"
consistency	一致性	20	5	"{""consistency"": 10, ""Consistency"": 10}"	23	7	"{""一致性"": 23}"
invariant	不变量	8	3	"{""invariants"": 2, ""Invariants"": 2, ""invariant"": 4}"	7	3	"{""不变量"": 7}"
leverage	以少量知识或机制解决更多问题	7	4	"{""leverage"": 5, ""cognitive leverage"": 1, ""leverage point"": 1}"	4	2	"{""认知杠杆"": 1, ""杠杆点"": 2, ""杠杆"": 1}"
selection	选区／所选区域	48	4	"{""Selection"": 1, ""selection"": 47}"	30	4	"{""选择的区域"": 4, ""区域选择"": 15, ""所选内容"": 4, ""所选区域"": 7}"
undo/redo	撤销／重做	39	2	"{""undo"": 28, ""redo"": 11}"	54	4	"{""撤销"": 9, ""重做"": 14, ""撤消"": 31}"
line-oriented	面向行	8	3	"{""line-oriented"": 8}"	8	3	"{""面向行"": 8}"
character-oriented	面向字符	8	3	"{""character-oriented"": 8}"	9	3	"{""面向字符"": 9}"
string-oriented	面向字符串	1	1	"{""string-oriented"": 1}"	1	1	"{""面向字符串"": 1}"
range-oriented	面向范围	1	1	"{""range-oriented"": 1}"	1	1	"{""面向范围"": 1}"
gap buffer	间隙缓冲区	1	1	"{""gap buffer"": 1}"	1	1	"{""间隙缓冲区"": 1}"
configuration parameter	配置参数	17	4	"{""configuration parameters"": 12, ""Configuration parameters"": 2, ""configuration parameter"": 3}"	20	5	"{""配置参数"": 19, ""配置选项"": 1}"
critical path	关键路径	21	2	"{""critical path"": 16, ""critical paths"": 4, ""performance-critical path"": 1}"	20	2	"{""关键路径"": 19, ""性能关键路径"": 1}"
current term	当前任期	1	1	"{""current term"": 1}"	1	1	"{""当前项"": 1}"
strategic comments	有针对性的注释	1	1	"{""strategic comments"": 1}"	1	1	"{""战略式注释"": 1}"
design it twice	设计两次	8	3	"{""design it twice"": 2, ""design-it-twice"": 3, ""Designing it twice"": 1, ""designing it twice"": 1, ""Design it twice"": 1}"	8	3	"{""设计两次"": 7, ""两次设计"": 1}"
define errors out of existence	通过定义来规避错误	8	5	"{""Define errors out of existence"": 2, ""define errors out of existence"": 2, ""defining errors out of existence"": 3, ""redefining semantics to eliminate error conditions"": 1}"	10	5	"{""通过定义来规避错误"": 9, ""重新定义语义以消除错误条件"": 1}"
clean design	整洁的设计	7	5	"{""clean designs"": 2, ""clean design"": 5}"	6	3	"{""整洁的设计"": 3, ""简洁的设计"": 3}"
