english	preferred_zh	en_count	en_files	en_forms	en_locations	zh_count	zh_files	zh_variants	zh_locations
complexity	复杂性	84	20	"{""complexity"": 79, ""Complexity"": 5}"	docs/en/README.md:9; docs/en/preface.md:17; docs/en/preface.md:27; docs/en/ch01.md:2; docs/en/ch01.md:6; docs/en/ch01.md:8; docs/en/ch01.md:10; docs/en/ch01.md:12; docs/en/ch01.md:16; docs/en/ch01.md:24; docs/en/ch01.md:26; docs/en/ch01.md:32; docs/en/ch01.md:40; docs/en/ch02.md:3; docs/en/ch02.md:5; docs/en/ch02.md:19; docs/en/ch04.md:3; docs/en/ch04.md:21; docs/en/ch06.md:3; docs/en/ch06.md:163; docs/en/ch07.md:22; docs/en/ch07.md:24; docs/en/ch08.md:3; docs/en/ch08.md:7; docs/en/ch09.md:5; docs/en/ch09.md:7; docs/en/ch09.md:41; docs/en/ch09.md:45; docs/en/ch10.md:3; docs/en/ch10.md:25; docs/en/ch12.md:3; docs/en/ch12.md:40; docs/en/ch14.md:3; docs/en/ch16.md:3; docs/en/ch17.md:3; docs/en/ch18.md:3; docs/en/ch19.md:3; docs/en/ch19.md:19; docs/en/ch20.md:3; docs/en/ch21.md:31; docs/en/ch22.md:3; docs/en/summary.md:7; docs/en/summary.md:16	218	23	"{""复杂性"": 218}"	docs/README.md:5; docs/preface.md:17; docs/preface.md:27; docs/ch01.md:5; docs/ch01.md:7; docs/ch01.md:9; docs/ch01.md:11; docs/ch01.md:15; docs/ch01.md:23; docs/ch01.md:25; docs/ch01.md:31; docs/ch01.md:39; docs/ch02.md:3; docs/ch02.md:5; docs/ch02.md:11; docs/ch02.md:13; docs/ch02.md:15; docs/ch02.md:17; docs/ch02.md:21; docs/ch02.md:23; docs/ch02.md:27; docs/ch02.md:29; docs/ch02.md:31; docs/ch02.md:33; docs/ch02.md:39; docs/ch02.md:41; docs/ch02.md:47; docs/ch02.md:55; docs/ch02.md:59; docs/ch02.md:63; docs/ch02.md:65; docs/ch02.md:69; docs/ch03.md:10; docs/ch03.md:12; docs/ch03.md:14; docs/ch03.md:22; docs/ch03.md:28; docs/ch03.md:36; docs/ch03.md:38; docs/ch04.md:3; docs/ch04.md:7; docs/ch04.md:13; docs/ch04.md:17; docs/ch04.md:37; docs/ch04.md:41; docs/ch04.md:45; docs/ch04.md:47; docs/ch04.md:73; docs/ch04.md:75; docs/ch04.md:79; docs/ch04.md:89; docs/ch04.md:93; docs/ch04.md:97; docs/ch04.md:99; docs/ch04.md:117; docs/ch04.md:121; docs/ch05.md:19; docs/ch05.md:59; docs/ch05.md:107; docs/ch06.md:3; docs/ch06.md:161; docs/ch07.md:44; docs/ch07.md:85; docs/ch07.md:91; docs/ch07.md:111; docs/ch07.md:113; docs/ch08.md:3; docs/ch08.md:7; docs/ch08.md:11; docs/ch08.md:13; docs/ch08.md:17; docs/ch08.md:21; docs/ch08.md:23; docs/ch08.md:27; docs/ch08.md:29; docs/ch09.md:5; docs/ch09.md:7; docs/ch09.md:165; docs/ch09.md:173; docs/ch09.md:185; docs/ch09.md:201; docs/ch09.md:205; docs/ch10.md:3; docs/ch10.md:7; docs/ch10.md:58; docs/ch10.md:62; docs/ch10.md:66; docs/ch10.md:70; docs/ch10.md:88; docs/ch10.md:102; docs/ch10.md:106; docs/ch10.md:140; docs/ch10.md:142; docs/ch10.md:144; docs/ch10.md:152; docs/ch10.md:158; docs/ch10.md:164; docs/ch12.md:3; docs/ch12.md:24; docs/ch12.md:46; docs/ch12.md:54; docs/ch12.md:72; docs/ch14.md:3; docs/ch15.md:33; docs/ch15.md:39; docs/ch16.md:3; docs/ch16.md:7; docs/ch16.md:9; docs/ch17.md:3; docs/ch17.md:43; docs/ch18.md:3; docs/ch19.md:3; docs/ch19.md:9; docs/ch19.md:11; docs/ch19.md:15; docs/ch19.md:21; docs/ch19.md:29; docs/ch19.md:39; docs/ch19.md:67; docs/ch19.md:73; docs/ch20.md:3; docs/ch20.md:7; docs/ch20.md:22; docs/ch20.md:24; docs/ch20.md:32; docs/ch21.md:31; docs/ch22.md:3; docs/summary.md:7; docs/summary.md:16
dependency	依赖性／依赖关系	7	5	"{""dependencies"": 7}"	docs/en/ch01.md:6; docs/en/ch02.md:19; docs/en/ch09.md:9; docs/en/ch09.md:45; docs/en/ch22.md:3; docs/en/summary.md:35	47	11	"{""依赖性"": 16, ""依赖关系"": 25, ""依赖项"": 6}"	docs/ch01.md:5; docs/ch02.md:47; docs/ch02.md:49; docs/ch02.md:51; docs/ch02.md:53; docs/ch02.md:55; docs/ch02.md:59; docs/ch02.md:63; docs/ch02.md:65; docs/ch02.md:69; docs/ch04.md:9; docs/ch04.md:11; docs/ch05.md:29; docs/ch05.md:107; docs/ch07.md:44; docs/ch07.md:107; docs/ch09.md:9; docs/ch09.md:189; docs/ch09.md:205; docs/ch12.md:54; docs/ch13.md:25; docs/ch13.md:257; docs/ch16.md:9; docs/ch19.md:13; docs/ch19.md:15; docs/ch19.md:19; docs/ch22.md:3
obscurity	模糊性	6	4	"{""obscurities"": 1, ""obscurity"": 3, ""Obscurity"": 2}"	docs/en/ch02.md:19; docs/en/ch06.md:87; docs/en/ch18.md:3; docs/en/ch22.md:3	21	6	"{""模糊性"": 21}"	docs/ch02.md:47; docs/ch02.md:55; docs/ch02.md:57; docs/ch02.md:59; docs/ch02.md:69; docs/ch04.md:33; docs/ch06.md:85; docs/ch12.md:54; docs/ch18.md:3; docs/ch18.md:101; docs/ch22.md:3
change amplification	变更放大	1	1	"{""change amplification"": 1}"	docs/en/ch02.md:19	6	3	"{""变更放大"": 6}"	docs/ch02.md:29; docs/ch02.md:41; docs/ch02.md:59; docs/ch02.md:69; docs/ch12.md:48; docs/ch19.md:13
cognitive load	认知负荷	5	3	"{""cognitive load"": 5}"	docs/en/ch02.md:19; docs/en/ch06.md:41; docs/en/ch06.md:43; docs/en/ch06.md:85; docs/en/ch21.md:31	24	8	"{""认知负荷"": 24}"	docs/ch02.md:31; docs/ch02.md:33; docs/ch02.md:41; docs/ch02.md:43; docs/ch02.md:59; docs/ch02.md:69; docs/ch04.md:33; docs/ch05.md:19; docs/ch05.md:103; docs/ch06.md:39; docs/ch06.md:41; docs/ch06.md:83; docs/ch07.md:64; docs/ch12.md:49; docs/ch12.md:52; docs/ch14.md:99; docs/ch21.md:31
unknown unknowns	未知的未知	2	2	"{""unknown unknowns"": 2}"	docs/en/ch02.md:19; docs/en/ch21.md:33	11	4	"{""未知的未知"": 11}"	docs/ch02.md:39; docs/ch02.md:41; docs/ch02.md:43; docs/ch02.md:59; docs/ch02.md:69; docs/ch04.md:25; docs/ch12.md:50; docs/ch12.md:52; docs/ch21.md:33
modular design	模块化设计	3	2	"{""modular design"": 3}"	docs/en/ch01.md:12; docs/en/ch04.md:3	8	2	"{""模块化设计"": 8}"	docs/ch01.md:11; docs/ch04.md:3; docs/ch04.md:7; docs/ch04.md:9; docs/ch04.md:15; docs/ch04.md:29
abstraction	抽象	20	8	"{""abstraction"": 12, ""Abstractions"": 1, ""abstractions"": 7}"	docs/en/ch04.md:21; docs/en/ch06.md:43; docs/en/ch06.md:87; docs/en/ch07.md:3; docs/en/ch07.md:5; docs/en/ch07.md:6; docs/en/ch07.md:8; docs/en/ch07.md:24; docs/en/ch12.md:3; docs/en/ch12.md:40; docs/en/ch13.md:7; docs/en/ch18.md:17; docs/en/ch21.md:5; docs/en/summary.md:15; docs/en/summary.md:21	117	17	"{""抽象"": 117}"	docs/preface.md:11; docs/ch01.md:29; docs/ch04.md:29; docs/ch04.md:31; docs/ch04.md:33; docs/ch04.md:35; docs/ch04.md:37; docs/ch04.md:41; docs/ch04.md:75; docs/ch04.md:79; docs/ch04.md:89; docs/ch04.md:121; docs/ch05.md:17; docs/ch05.md:19; docs/ch05.md:31; docs/ch06.md:41; docs/ch06.md:85; docs/ch07.md:3; docs/ch07.md:5; docs/ch07.md:6; docs/ch07.md:8; docs/ch07.md:12; docs/ch07.md:46; docs/ch07.md:83; docs/ch07.md:113; docs/ch09.md:109; docs/ch09.md:177; docs/ch09.md:179; docs/ch12.md:3; docs/ch12.md:22; docs/ch12.md:24; docs/ch12.md:32; docs/ch12.md:72; docs/ch13.md:7; docs/ch13.md:9; docs/ch13.md:19; docs/ch13.md:106; docs/ch13.md:204; docs/ch13.md:230; docs/ch13.md:234; docs/ch13.md:236; docs/ch13.md:238; docs/ch13.md:254; docs/ch13.md:256; docs/ch13.md:419; docs/ch13.md:433; docs/ch14.md:19; docs/ch14.md:40; docs/ch15.md:27; docs/ch15.md:31; docs/ch15.md:33; docs/ch15.md:43; docs/ch15.md:49; docs/ch16.md:25; docs/ch16.md:38; docs/ch16.md:68; docs/ch18.md:154; docs/ch19.md:11; docs/ch19.md:27; docs/ch19.md:29; docs/ch19.md:31; docs/ch19.md:49; docs/ch20.md:42; docs/ch20.md:113; docs/ch20.md:115; docs/ch20.md:117; docs/ch21.md:5; docs/summary.md:15; docs/summary.md:21
deep module/class	深模块／深类	5	3	"{""deep modules"": 3, ""deeper classes"": 2}"	docs/en/ch05.md:3; docs/en/ch05.md:25; docs/en/ch05.md:27; docs/en/ch06.md:163; docs/en/ch08.md:3	12	6	"{""深模块"": 7, ""深类"": 3, ""更深的类"": 2}"	docs/ch04.md:41; docs/ch04.md:73; docs/ch04.md:75; docs/ch04.md:97; docs/ch05.md:3; docs/ch05.md:7; docs/ch05.md:115; docs/ch05.md:117; docs/ch08.md:3; docs/ch10.md:102; docs/ch13.md:370; docs/ch20.md:26
shallow module/class	浅模块／浅类	3	3	"{""shallow modules"": 1, ""Shallow classes"": 1, ""Shallow Module"": 1}"	docs/en/ch05.md:27; docs/en/ch21.md:31; docs/en/summary.md:28	15	6	"{""浅模块"": 7, ""浅层模块"": 1, ""浅类"": 6, ""浅的类"": 1}"	docs/ch04.md:45; docs/ch04.md:79; docs/ch04.md:91; docs/ch04.md:93; docs/ch04.md:97; docs/ch05.md:59; docs/ch05.md:117; docs/ch07.md:70; docs/ch20.md:26; docs/ch21.md:31; docs/summary.md:28
